"","answer","Relative","Foil1","Foil2","Foil3","Set","Target","vowel","voicing","place","manner","Foil1_Cons","Foil2_Cons","Foil3_Cons","Contrast1","Contrast2","Contrast3","TargetBroadManner","Foil1BroadManner","Foil2BroadManner","Foil3BroadManner","TargetARPABET","Foil1ARPABET","Foil2ARPABET","Foil3ARPABET","Relative_Easiness","Base-Ease","numVoicingFoils","numPlaceFoils","numMannerFoils","numMultiFoils"
"60","net",0.238,"yet","vet","get",20,"n","LF","voiced","alveolar","nasal","J","V","G","2Features","2Features","2Features","Sonorant","Sonorant","Fricative","Stop","N","Y","V","G",0.37,-0.944,0,0,0,3
"61","noon",0.315,"boon","dune","moon",9,"n","HB","voiced","alveolar","nasal","B","D","M","2Features","Manner","Place","Sonorant","Stop","Stop","Sonorant","N","B","D","M",0.226,-0.736,0,1,1,1
"62","patch",0.155,"thatch","match","batch",4,"p","LF","voiceless","bilabial","stop","TH","M","B","2Features","2Features","Voicing","Stop","Fricative","Sonorant","Stop","P","TH","M","B",0.21,-0.151,1,0,0,2
"63","pen",0.103,"ken","then","zen",21,"p","LF","voiceless","bilabial","stop","K","DH","Z","Place","3Features","3Features","Stop","Stop","Fricative","Fricative","P","K","DH","Z",0.08,-0.284,0,1,0,2
"64","ping",-0.411,"king","thing","zing",23,"p","HF","voiceless","bilabial","stop","K","TH","Z","Place","2Features","3Features","Stop","Stop","Fricative","Fricative","P","K","TH","Z",-0.375,-0.36,0,1,0,2
"65","pong",0.026,"tong","thong","song",30,"p","LB","voiceless","bilabial","stop","T","TH","S","Place","2Features","2Features","Stop","Stop","Fricative","Fricative","P","T","TH","S",0.062,-0.803,0,1,0,2
"66","pool",-0.155,"cool","fool","ghoul",16,"p","HB","voiceless","bilabial","stop","K","F","G","Place","Manner","2Features","Stop","Stop","Fricative","Stop","P","K","F","G",-0.255,-0.271,0,1,1,1
"67","pop",-1.267,"cop","top","shop",10,"p","LB","voiceless","bilabial","stop","K","T","SH","Place","Place","2Features","Stop","Stop","Stop","Fricative","P","K","T","SH",-1.376,-2.264,0,2,0,1
"68","pour",1.223,"more","tore","shore",29,"p","LB","voiceless","bilabial","stop","M","T","SH","2Features","Place","2Features","Stop","Sonorant","Stop","Fricative","P","M","T","SH",1.26,0.432,0,1,0,2
"69","red",-0.591,"said","dead","led",18,"r","LF","voiced","postalveolar","liquid","S","D","L","2Features","Manner","Place","Sonorant","Fricative","Stop","Sonorant","R","S","D","L",-0.611,-1.156,0,1,1,1
"70","rip",1.097,"zip","lip","yip",25,"r","HF","voiced","postalveolar","liquid","Z","L","J","Manner","Place","Place","Sonorant","Fricative","Sonorant","Sonorant","R","Z","L","Y",0.997,0.886,0,2,1,0
"71","rock",-0.519,"lock","mock","wok",27,"r","LB","voiced","postalveolar","liquid","L","M","W","Place","2Features","Place","Sonorant","Sonorant","Sonorant","Sonorant","R","L","M","W",-0.49,-1.534,0,2,0,1
"72","rook",-0.49,"took","look","cook",15,"r","HB","voiced","postalveolar","liquid","T","L","K","2Features","Place","3Features","Sonorant","Stop","Sonorant","Stop","R","T","L","K",-0.319,-0.506,0,1,0,2
"73","room",-0.309,"boom","doom","womb",8,"r","HB","voiced","postalveolar","liquid","B","D","W","2Features","Manner","Place","Sonorant","Stop","Stop","Sonorant","R","B","D","W",-0.272,-0.458,0,1,1,1
"74","rot",0.792,"watt","lot","yacht",28,"r","LB","voiced","postalveolar","liquid","W","L","J","Place","Place","Place","Sonorant","Sonorant","Sonorant","Sonorant","R","W","L","Y",0.677,-0.348,0,3,0,0
"75","said",0.657,"dead","red","led",18,"s","LF","voiceless","alveolar","fricative","D","R","L","2Features","2Features","2Features","Fricative","Stop","Sonorant","Sonorant","S","D","R","L",0.732,2.228,0,0,0,3
"76","sat",-0.244,"vat","that","cat",11,"s","LF","voiceless","alveolar","fricative","V","DH","K","2Features","2Features","2Features","Fricative","Fricative","Fricative","Stop","S","V","DH","K",-0.165,1.297,0,0,0,3
"77","shawl",-0.546,"ball","fall","wall",1,"sh","LB","voiceless","postalveolar","fricative","B","F","W","3Features","Place","3Features","Fricative","Stop","Fricative","Sonorant","SH","B","F","W",-0.564,0.589,0,1,0,2
"78","shell",-0.323,"tell","cell","yell",13,"sh","LF","voiceless","postalveolar","fricative","T","S","J","2Features","Place","2Features","Fricative","Stop","Fricative","Sonorant","SH","T","S","Y",-0.397,1.229,0,1,0,2
"79","shin",0.629,"sin","kin","thin",22,"sh","HF","voiceless","postalveolar","fricative","S","K","TH","Place","2Features","Place","Fricative","Fricative","Stop","Fricative","SH","S","K","TH",0.5,2.475,0,2,0,1
"80","shop",-0.232,"cop","pop","top",10,"sh","LB","voiceless","postalveolar","fricative","K","P","T","2Features","2Features","2Features","Fricative","Stop","Stop","Stop","SH","K","P","T",-0.11,1.047,0,0,0,3
"81","shore",0.404,"more","pour","tore",29,"sh","LB","voiceless","postalveolar","fricative","M","P","T","3Features","2Features","2Features","Fricative","Sonorant","Stop","Stop","SH","M","P","T",0.521,1.699,0,0,0,3
"82","sin",-0.116,"shin","kin","thin",22,"s","HF","voiceless","alveolar","fricative","SH","K","TH","Place","2Features","Place","Fricative","Fricative","Stop","Fricative","S","SH","K","TH",-0.251,1.564,0,2,0,1
"83","sit",-0.321,"zit","lit","mitt",26,"s","HF","voiceless","alveolar","fricative","Z","L","M","voicing","2Features","3Features","Fricative","Fricative","Sonorant","Sonorant","S","Z","L","M",-0.251,1.564,1,0,0,2
"84","sob",0.13,"bob","cob","gob",7,"s","LB","voiceless","alveolar","fricative","B","K","G","3Features","2Features","3Features","Fricative","Stop","Stop","Stop","S","B","K","G",0.267,1.263,0,0,0,3
"85","song",0.331,"pong","tong","thong",30,"s","LB","voiceless","alveolar","fricative","P","T","TH","2Features","Manner","Place","Fricative","Stop","Stop","Fricative","S","P","T","SH",0.204,1.197,0,1,1,1
"86","suit",0.039,"chute","coot","toot",14,"s","HB","voiceless","alveolar","fricative","SH","K","T","Place","2Features","Manner","Fricative","Fricative","Stop","Stop","S","SH","K","T",-0.085,1.699,0,1,1,1
"87","taught",0.006,"caught","fought","thought",12,"t","LB","voiceless","alveolar","stop","K","F","TH","Place","2Features","2Features","Stop","Stop","Fricative","Fricative","T","K","F","DH",0.076,-0.096,0,1,0,2
"88","tell",0.34,"cell","shell","yell",13,"t","LF","voiceless","alveolar","stop","S","SH","J","Manner","2Features","3Features","Stop","Fricative","Fricative","Sonorant","T","S","SH","Y",0.361,0.696,0,0,1,2
"89","than",-0.848,"ban","van","man",2,"dh","LF","voiced","dental","fricative","B","V","M","2Features","Place","2Features","Fricative","Stop","Fricative","Sonorant","DH","B","V","M",-0.842,-1.491,0,1,0,2
